"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
11;150;1;1;1;0;1;48;48;3.89182029811063;3;0.3;1;9;27;0.09;0.027;0.9
11;150;2;1;2;1;50;88;39;3.68887945411394;3;0.3;1;9;27;0.09;0.027;0.9
11;150;3;1;3;1;90;341;252;5.53338948872752;3;0.3;1;9;27;0.09;0.027;0.9
11;150;4;1;4;1;343;566;224;5.41610040220442;3;0.3;1;9;27;0.09;0.027;0.9
11;150;5;0;4;1;568;1000;433;6.07304453410041;3;0.3;1;9;27;0.09;0.027;0.9
12;150;1;1;1;0;1;517;517;6.24997524225948;3;0.35;1;9;27;0.1225;0.042875;1.05
12;150;2;1;2;1;519;696;178;5.18738580584075;3;0.35;1;9;27;0.1225;0.042875;1.05
12;150;3;1;3;1;698;913;216;5.37989735354046;3;0.35;1;9;27;0.1225;0.042875;1.05
12;150;4;0;3;1;915;1000;86;4.46590811865458;3;0.35;1;9;27;0.1225;0.042875;1.05
13;150;1;1;1;0;1;831;831;6.72383244082121;4;0.1;1;16;64;0.01;0.001;0.4
13;150;2;0;1;0;833;1000;168;5.12989871492307;4;0.1;1;16;64;0.01;0.001;0.4
14;150;1;1;1;0;1;181;181;5.2040066870768;4;0.15;1;16;64;0.0225;0.003375;0.6
14;150;2;0;1;0;183;1000;818;6.70808408385307;4;0.15;1;16;64;0.0225;0.003375;0.6
15;150;1;1;1;0;1;39;39;3.68887945411394;4;0.2;1;16;64;0.04;0.008;0.8
15;150;2;1;2;1;41;215;175;5.17048399503815;4;0.2;1;16;64;0.04;0.008;0.8
15;150;3;1;3;1;217;301;85;4.45434729625351;4;0.2;1;16;64;0.04;0.008;0.8
15;150;4;1;4;1;303;803;501;6.21860011969173;4;0.2;1;16;64;0.04;0.008;0.8
15;150;5;0;4;1;805;1000;196;5.28320372873799;4;0.2;1;16;64;0.04;0.008;0.8
16;150;1;1;1;0;1;756;756;6.62936325343745;4;0.25;1;16;64;0.0625;0.015625;1
16;150;2;0;1;0;758;1000;243;5.4971682252932;4;0.25;1;16;64;0.0625;0.015625;1
17;150;1;1;1;0;1;50;50;3.93182563272433;4;0.3;1;16;64;0.09;0.027;1.2
17;150;2;1;2;1;52;257;206;5.33271879326537;4;0.3;1;16;64;0.09;0.027;1.2
